CDRCode,statute,CDRDescription,classification,class,CDRStatus,RangeOfPunishment,max_time_days,min_time_days,conjunct,max_fine,min_fine,mandatory_incarceration,mandatory_fine,drug_type,drug_crime_category,other_punish,statutory_requires_gps,statutory_most_serious,statutory_nonviolent,statutory_serious,statutory_violent,statutory_unlisted
397,16-03-0655(B)(2),"SEX / CRIMINAL SEXUAL CONDUCT WITH MINOR, OR ATTEMPT - VICTIM UNDER 16 YEARS OF AGE - SECOND DEGREE",F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
398,16-03-0658,"SEX / CRIMINAL SEXUAL CONDUCT WHERE VICTIM IS LEGAL SPOUSE, SEPARATED - SECOND DEGREE",F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
399,16-03-0810,SEX / ENGAGING CHILD UNDER 18 FOR SEXUAL PERFORMANCE,F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
401,25-07-0030,SPYING / GIVE INFORMATION ON DEFENSE TO FOREIGN CONTACTS DURING PEACETIME,F,C,Active,NMT 20 YEARS,7300,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
402,44-53-0370(e)(1)(a)2,"DRUGS / TRAFFICKING IN MARIJUANA, 10 LBS OR MORE, BUT LESS THAN 100 LBS - 2ND OFFENSE",F,C,Active,"5 YEARS - 20 YEARS & $15,000",7300,1825,AND,15000,15000,TRUE,TRUE,MJ,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
403,44-53-0475(A)(3),DRUGS / CONCEALMENT OF PROPERTY DERIVED FROM UNLAWFUL DRUG ACTIVITY,F,C,Active,"NMT 20 YEARS &/OR THE GREATER OF (1)<=$500,000 OR (2) 2X THE VALUE OF THE PROPERTY INVOLVED",7300,0,AND/OR,1000000,0,FALSE,FALSE,OTHER,DRUG-OTHER,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
406,56-05-2945(A)(1),"DUI / FELONY DRIVING UNDER THE INFLUENCE, GREAT BODILY INJURY RESULTS",F,D,Active,"30 DAYS TO 15 YEARS & $5,000-10,000",5475,30,AND,10000,5000,TRUE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
407,07-25-0050,VOTING / BRIBERY AT ELECTIONS - 2ND & SUB. OFFENSE,F,E,Active,"NMT 10 YEARS & $500 - $5,000",3650,0,AND,5000,500,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
408,08-01-0020,"PUBLIC / PUBLIC OFFICIAL IILEGALLY COLLECTING, RETAINING OF REBATES, COMMISSIONS, OR DISCOUNT",F,E,Active,NMT 10 YEARS OR DISCRETIONARY FINE,3650,0,OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
409,08-13-0705,"PUBLIC / PUBLIC OFFICIAL, BRIBES, INFLUENCE ACTION OF PUBLIC EMPLOYEE, MEMBER, OFFICIAL OR WITNESS",F,E,Active,"NMT 10 YEARS & NMT $10,000",3650,0,AND,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
412,16-03-0615(A),SEX / SPOUSAL SEXUAL BATTERY,F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
413,16-03-0820,"SEX / PRODUCE, PROMOTE OR DIRECT SEXUAL PERFORMANCE BY A CHILD UNDER 18",F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
414,16-07-0160(2),"STINK / STINK BOMBS, USE CAUSING BODILY HARM",F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
415,16-09-0290,BRIBES / ACCEPTING BRIBES FOR PURPOSES OF PROCURING PUBLIC OFFICE,F,X,Active,NMT 10 YEARS & NMT $100,3650,0,AND,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
427,16-11-0313,"BURGLARY / BURGLARY (AFTER JUNE 20, 1985) - THIRD DEGREE - 1ST OFFENSE",F,F,Active,NMT 5 YEARS,1825,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
428,16-11-0313,"BURGLARY / BURGLARY (AFTER JUNE 20, 1985) - THIRD DEGREE - 2ND OFFENSE",F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
429,16-17-0600(B),"GRAVES / OBLITERATION, VANDALIZATION OR DESECRATION OF HUMAN BURIAL GROUNDS",F,E,Active,"NMT 10 YEARS &/OR NMT $5,000",3650,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
431,17-13-0050,"ARREST / RIGHT TO BE INFORMED OF GROUNDS FOR ARREST, CONSEQ. OF REFUSAL TO ANSWER OR FALSE ANSWER BY AN OFFICER",F,E,Active,NMT 10 YEARS &/OR DISCRETIONARY FINE,3650,0,AND/OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
433,63-19-1670,"CHILDREN / ADULTS FURNISHING CONTRABAND TO A JUVENILE IN THE CUSTODY OF THE DEPARTMENT OF JUVENILE JUSTICE, WHILE ON THE GROUNDS OF DJJ",F,E,Active,"NMT 10 YEARS &/OR $1,000-10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
434,23-31-0360,WEAPONS / UNREGISTERED POSSESSION OF MACHINE GUNS BY LICENSED MANUFACTURER,F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
435,23-36-0010,BOMB / VIOLATION OF SC EXPLOSIVES CONTROL ACT - 2ND OFFENSE,F,E,Active,"NMT 10 YEARS & $1,500 - $5,000",3650,0,AND,5000,1500,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
436,24-03-0910,ESCAPE / PENITENTIARY EMPLOYEE'S CONNIVANCE AT ESCAPE OF PRISONERS,F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
437,24-07-0155,"PRISONERS / CONTRABAND, FURNISH. OR POSS., COUNTY OR MUNICIPAL PRISONS PROHIBITED",F,E,Active,"NMT 10 YEARS &/OR $1,000-10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
438,24-13-0420,ESCAPE / HARBORING OR EMPLOYING AN ESCAPED CONVICT,F,E,Active,NMT 10 YEARS &/OR DISCRETIONARY FINE,3650,0,AND/OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
439,24-13-0430(1),PRISONERS / INCITE PRISONERS TO RIOT,F,E,Active,5 - 10 YEARS,3650,1825,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
440,24-13-0430(2),PRISONERS / PARTICIPATING IN RIOT BY PRISONERS,F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
441,24-13-0440,PRISONERS / CARRYING OR CONCEALING WEAPON BY INMATES,F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
442,25-07-0050(B),"SPYING / FALSE REPORTS, INSUBORDINATION, OBSTRUCTION OF RECRUITING DURING WAR",F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
443,44-53-0577,DRUGS / HIRING PERSON UNDER 17 TO CONDUCT FINANCE RELATING TO DRUG ACTIVITY,F,D,Active,NMT 15 YEARS,5475,0,NONE,0,0,FALSE,FALSE,OTHER,DRUG-OTHER,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
444,25-07-0070,SPYING / SABOTAGE,F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
445,34-03-0010(A),BANKING / USE OF WORD 'BANK' OR 'BANKING' BY OTHER THAN BANKING INSTITUTIONS,F,E,Active,"NMT 10 YEARS & $1,000 - $10,000",3650,0,AND,10000,1000,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
446,34-11-0090(b),"CHECKS / FRAUDULENT CHECK, OR STOP PAYMENT, > $1000.00 - 2ND OR SUB.",F,E,Active,"NMT 10 YEARS & $500-2,000",3650,0,AND,2000,500,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
447,34-13-0080,BANKING / PENALTY FOR IMPROPER BORROWING BY DIRECTORS OR OFFICERS,F,E,Active,NMT 10 YEARS &/OR DISCRETIONARY FINE,3650,0,AND/OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
449,39-22-0090(A)(8),"WAREHOUSE / STATE WAREHOUSE SYSTEM VIOLATION, FORGERY, AMOUNT $5,000 OR MORE",F,E,Active,NMT 10 YEARS OR DISCRETIONARY FINE,3650,0,OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
450,44-53-0375(C)(1)(a),"DRUGS / TRAFFICKING IN METH. OR COCAINE BASE - 10 G OR MORE, BUT LESS THAN 28 G -  1ST OFFENSE",F,E,Active,"3 YEARS - 10 YEARS & $25,000",3650,1095,AND,25000,25000,TRUE,TRUE,METH/COCAINE BASE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
451,44-53-0375(C)(1)(b),"DRUGS / TRAFFICKING IN METH. OR COCAINE BASE - 10 G OR MORE, BUT LESS THAN 28 G -  2ND OFFENSE",F,A,Active,"5 YEARS - 30 YEARS & $50,000",10950,1825,AND,50000,50000,TRUE,TRUE,METH/COCAINE BASE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
452,44-53-0375(C)(1)(c),"DRUGS / TRAFFICKING IN METH OR COCAINE BASE - 10 G OR MORE, BUT LESS THAN 28 G -  3RD OR SUB. OFFENSE (FEL., 25Y TO 30Y)",F,X,Active,"25-30 YEARS & $50,000",10950,9125,AND,50000,50000,TRUE,TRUE,METH/COCAINE BASE,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
453,44-53-0370(e)(5)(c),"DRUGS / TRAFFICKING LSD, 1,000 DOSAGE UNITS OR MORE",F,X,Active,"25 YEARS & $100,000",9125,9125,AND,100000,100000,TRUE,TRUE,LSD,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
454,44-53-0370(e)(5)(a)1,"DRUGS / TRAFFICKING LSD, 100 DOSE UNITS TO 499 DOSAGE UNITS - 1ST OFFENSE",F,E,Active,"3 YEAR - 10 YEARS & $20,000",3650,1095,AND,20000,20000,TRUE,TRUE,LSD,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
455,44-53-0370(e)(5)(a)2,"DRUGS / TRAFFICKING LSD, 100 DOSE UNITS TO 499 DOSAGE UNITS - 2ND OFFENSE",F,A,Active,"5-30 YEARS & $40,000",10950,1825,AND,40000,40000,TRUE,TRUE,LSD,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
456,44-53-0370(e)(5)(a)3,"DRUGS / TRAFFICKING LSD, 100 DOSE UNITS TO 499 DOSAGE UNITS - 3RD OR SUB. OFFENSE",F,A,Active,"25-30 YEARS & $50,000",10950,9125,AND,50000,50000,TRUE,TRUE,LSD,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
457,44-53-0370(e)(5)(b)1,"DRUGS / TRAFFICKING LSD, 500 DOSE UNITS TO 999 DOSAGE UNITS - 1ST OFFENSE",F,B,Active,"7-25 YEARS & $50,000",9125,2555,AND,50000,50000,TRUE,TRUE,LSD,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
458,44-53-0370(e)(5)(b)2,"DRUGS / TRAFFICKING LSD, 500 DOSE UNITS TO 999 DOSAGE UNITS - 2ND OFFENSE",F,A,Active,"7-25 YEARS & $50,000",9125,2555,AND,50000,50000,TRUE,TRUE,LSD,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
459,44-53-0370(e)(5)(b)3,"DRUGS / TRAFFICKING LSD, 500 DOSE UNITS TO 999 DOSAGE UNITS - 3RD OR SUB. OFFENSE",F,A,Active,"25-30 YEARS & $50,000",10950,9125,AND,50000,50000,TRUE,TRUE,LSD,DRUGS-TRAFFICKING,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
460,39-73-0325(A),COMMODITY / VIOLATION OF REGULATION UNDER STATE COMMODITY CODE,F,E,Active,"NMT 10 YEARS &/OR NMT $20,000",3650,0,AND/OR,20000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
461,44-23-1150(C)(1),SEX / FIRST DEGREE SEXUAL MISCONDUCT WITH INMATE OF CORRECTIONAL FACILITY OR PATIENT OR TRAINEE OF STATE MENTAL HEALTH FACILITY,F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
462,16-11-0617,"DRUGS / ENTRY ON ANOTHER'S LAND FOR PURPOSE OF CULTIVATING MARIJUANA , 25 PLANT MINIMUM",F,F,Active,"NMT 5 YEARS & NMT $5,000",1825,0,AND,5000,0,FALSE,FALSE,MJ,DRUG-OTHER,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
463,44-52-0165(A)(3),WEAPONS / POSS. OF WEAPON BY PATIENT RECEIVING INPATIENT SERVICES OPERATED BY DMH,F,E,Active,"NMT 10 YEARS &/OR $1,000-10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
464,16-09-0410(C)(1),"ESCAPE / AIDING ESCAPES FROM PRISON, FOR PRISONERS CHARGED WITH CAPITAL OFFENSES",F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
465,16-09-0410(C)(2),"ESCAPE / AIDING ESCAPES FROM PRISON, FOR PRISONERS CHARGED WITH NONCAPITAL OFFENSES",M,B,Active,NMT 2 YEARS OR NMT $500,730,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
466,44-52-0165(B)(1),ALCOHOL / INTENTIONALLY ALLOW PATIENT AT DMH TO POSSESS ALCOHOL OR DRUGS,F,E,Active,"NMT 10 YEARS &/OR $100 - $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
467,44-52-0165(B)(2),WEAPONS / INTENTIONALLY ALLOW. PATIENT AT DMH TO POSSESS FIREARMS OR DANGEROUS WEAPONS,F,E,Active,"NMT 10 YEARS &/OR $1,000-10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
468,44-55-1510,POLLUTION / DISCHARGE OF FUMES OF ACIDS OR SIMILAR SUBSTANCES PROHIBITED,F,E,Active,NMT 10 YEARS &/OR DISCRETIONARY FINE,3650,0,AND/OR,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
471,16-17-0600(A),"GRAVES / DESTRUCTION, DESECRATION OR REMOVAL OF HUMAN REMAINS",F,E,Active,"NMT 10 YEARS &/OR NMT $5,000",3650,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
476,47-19-0120(C)(2),"POULTRY / INTERFERING WITH PERSON PERFORMING POULTRY INSPECTION, USE OF DEADLY WEAPON IN COMMISSION",F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
483,55-01-0030(2),AIRPORT / UNLAWFUL REMOVING OR DAMAGING OF AIRPORT FACILITY OR EQUIPMENT AND INJURY RESULTS,F,E,Active,"NMT 10 YEARS &/OR NLT $10,000",3650,0,AND/OR,30000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
484,55-01-0040,"AIRPORT / UNLAWFUL ENTRY OF AIRCRAFT, DAMAGING OR REMOVING EQUIPMENT",M,U,Active,"NMT 10 YEARS OR $5,000 - $10,000",3650,0,OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
485,56-05-1030(A),"RAILROAD / INTERFERENCE WITH TRAFFIC-CONTROL DEVICES OR RR SIGNS, SIGNALS, INJURY RESULTS",F,E,Active,"NMT 10 YEARS OR NLT $1,000",3650,0,OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
486,58-15-0850,RAILROAD / BREAKING AND ENTERING OR SHOOTING INTO RAILROAD CARS,F,E,Active,NMT 10 YEARS OR NMT $500,3650,0,OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
487,07-25-0060,VOTING / PROCURING OR OFFERING TO PROCURE VOTES BY BRIBERY - 2ND OR SUB. OFFENSE,F,E,Active,NMT 10 YEARS & DISCRETIONARY FINE,3650,0,AND,150000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
488,16-13-0010(A),"FORGERY / FORGERY, NO DOLLAR AMOUNT INVOLVED",M,A,Active,NMT 3 YEARS OR DISCRETIONARY FINE,1095,0,OR,45000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
496,298394,COIN / UNLAW. MANUFACTURE OR SALE OF SLUGS TO BE USED IN COIN OPERATED DEVICES,F,F,Active,NMT 5 YEARS OR DISCRETIONARY FINE,1825,0,OR,75000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
498,12-21-6040(A),TAX / PUBLIC EMPL. REVEALING FACTS CONTAINED IN REPORT UNDER MARIJUANA AND CONTROLLED SUBSTANCE ACT,F,F,Active,"NMT 5 YEARS &/OR NMT $10,000",1825,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
507,16-09-0030,PERJURY / FALSE SWEARING BEFORE PERSONS AUTHORIZED TO ADMINISTER OATHS,F,F,Active,NMT 5 YEARS &/OR DISCRETIONARY FINE,1825,0,AND/OR,75000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
508,16-11-0125,ARSON / MAKING FALSE INSURANCE CLAIM TO OBTAIN BENEFITS FOR FIRE OR EXPLOSION LOSS,F,F,Active,"NMT 5 YEARS &/OR NMT $10,000",1825,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
509,16-11-0170,ARSON / WILLFULLY BURNING LANDS OF ANOTHER,F,F,Active,"NMT 5 YEARS OR NMT $5,000",1825,0,OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
515,16-11-0910(A),"RECORDINGS / TRANSFER OF RECORDED SOUNDS (>100<1000 SOUND ARTICLES, OR >10 <65 VISUAL ARTICLES IN 180 DAY PERIOD) - 2ND OR SUBSEQUENT OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $250,000",1825,0,AND/OR,250000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
516,16-11-0910 (A),RECORDINGS / TRANSFER OF RECORDED SOUNDS (AT LEAST 1000 SOUND ARTICLES OR 65 VISUAL ARTICLES IN 180 D),F,F,Active,"NMT 5 YEARS &/OR NMT $250,000",1825,0,AND/OR,250000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
517,16-11-0930,"RECORDINGS / ILLEGAL DISTRIBUTION OF  RECORDINGS (>100 <1000 SOUND ARTICLES, OR >10 <65 VISUAL ARTICLES) - 2ND OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $250,000",1825,0,AND/OR,250000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
518,16-11-0930,"RECORDINGS / ILLEGAL DISTRIBUTION OF  RECORDINGS (1000 OR MORE SOUND ARTICLES, OR 65 OR MORE VISUAL ARTICLES)",F,F,Active,"NMT 5 YEARS &/OR NMT $250,000",1825,0,AND/OR,250000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
528,16-13-0110(A),"SHOPLIFTING / SHOPLIFTING, VALUE $2,000 OR LESS",M,U,Active,"NMT 30 DAYS OR NMT $1,000",30,0,OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
529,16-13-0110(A),"SHOPLIFTING / SHOPLIFTING, VALUE MORE THAN $2,000 BUT LESS THAN $10,000",F,F,Active,"NMT 5 YEARS &/OR NMT $1,000",1825,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
530,16-13-0110(A),"SHOPLIFTING / SHOPLIFTING, VALUE $10,000 OR MORE",F,E,Active,NMT 10 YEARS,3650,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
535,16-21-0010(A),"VEHICLE / ALTERING, FORGING, OR COUNTERFEITING CERT. OF TITLE, REG. CARD, OR LICENSE PLATE",F,F,Active,NMT 5 YEARS,1825,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
536,16-21-0040(A)(2),"VEHICLE / REMOVE, FALSIFYING VIN INTENDING TO CONCEAL IDENTITY",F,F,Active,NMT 5 YEARS,1825,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
537,16-21-0040(A)(4),VEHICLE / RECEIVING OR SELLING VEHICLE WITH FALSIFIED VIN NUMBER,F,F,Active,NMT 5 YEARS,1825,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
539,16-23-0520,"WEAPONS / AMMUNITION, USE, MAN., POSS., PURCHASE, OR SALE OF TEFLON COATED AMMUNITION",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
540,16-27-0030,"ANIMALS / ANIMAL FIGHTING OR BAITING ACT, PENALTY",F,F,Active,"NMT 5 YEARS &/OR $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
541,16-03-1040(A),"THREAT  / THREATENING LIFE, PERSON OR FAMILY OF PUBLIC OFFICIAL, TEACHER, PRINCIPAL",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
542,16-27-0040,ANIMALS / PRESENCE AT FACILITY OF ANIMAL FIGHTING OR BAITING - 3RD OR SUB. OFFENSE,F,F,Active,"NMT 10 YEARS &/OR $5,000",3650,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
543,23-31-0220,WEAPONS / CARRYING CONCEALABLE WEAPON ON POSTED PLACES,F,F,Active,"NMT 5 YEARS &/OR NMT $2,000",1825,0,AND/OR,2000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
544,23-36-0010,BOMB / VIOLATION OF SC EXPLOSIVES CONTROL ACT - 1ST OFFENSE,F,F,Active,"NMT 5 YEARS &/OR $500 - $1,500",1825,0,AND/OR,1500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
545,24-01-0270,PRISONERS / TRESPASS OR LOITERING ON OR REFUSAL TO LEAVE STATE CORRECTIONAL PROPERTIES,F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
548,27-32-0120(B),"TIME / VACATION TIME SHARING PLANS, VIOLATION - 3RD OR SUB. OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
549,16-23-0490,"WEAPONS / POSS. WEAPON DURING VIOLENT CRIME, IF NOT ALSO SENTENCED TO LIFE WITHOUT PAROLE OR DEATH",F,F,Active,5 YEARS,1825,1825,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
550,38-09-0150,INSURANCE / MAKING A FALSE AFFIDAVIT FOR RETURN OF DEPOSITED SECURITIES,F,F,Active,NMT 5 YEARS,1825,0,NONE,0,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
551,38-13-0170,INSURANCE / MAKING OR AIDING IN MAKING FALSE STATEMENT BY INSURER,F,F,Active,"NMT 5 YEARS &/OR NMT $2,000",1825,0,AND/OR,2000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
552,23-31-0330,"WEAPONS / ARTICLES REGULATING USE, POSSESSION OF MACHINE GUNS, SAWN OFF SHOTGUNS, RIFLES",F,E,Active,"NMT 10 YEARS &/OR NMT $10,000",3650,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
554,39-22-0090(A)(1),"WAREHOUSE / STATE WAREHOUSE SYSTEM VIOLATION, FRAUDULENT RECEIPTS, ETC?",F,F,Active,"NMT 5 YEARS &/OR NMT $5,000",1825,0,AND/OR,5000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
556,39-23-0080(B)(2),"DRUGS / ADULTERATED, MISBRANDED, OR NEW DRUGS AND DEVICES - 2ND OFFENSE",F,F,Active,"NMT 5 YEARS &/OR NMT $10,000",1825,0,AND/OR,10000,0,FALSE,FALSE,OTHER,DRUG-OTHER,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
